timestamp,active_players,queue_size,login_rate,chat_rate,cpu_load
2024-01-01 00:00:00,94,28,0,85,14.82
2024-01-01 00:00:30,103,34,6,56,15.82
2024-01-01 00:01:00,87,18,4,75,17.69
2024-01-01 00:01:30,112,30,9,92,13.88
2024-01-01 00:02:00,103,37,8,50,13.47
2024-01-01 00:02:30,93,21,6,84,20.14
2024-01-01 00:03:00,95,35,3,120,16.18
2024-01-01 00:03:30,101,39,3,78,16.93
2024-01-01 00:04:00,97,27,7,97,15.92
2024-01-01 00:04:30,96,33,5,117,14.62
2024-01-01 00:05:00,97,35,4,101,16.22
2024-01-01 00:05:30,99,28,0,94,19.56
2024-01-01 00:06:00,85,27,7,53,18.65
2024-01-01 00:06:30,101,28,5,58,18.57
2024-01-01 00:07:00,96,22,7,84,18.65
2024-01-01 00:07:30,92,29,2,92,17.96
2024-01-01 00:08:00,116,36,6,101,15.03
2024-01-01 00:08:30,100,26,1,102,17.7
2024-01-01 00:09:00,102,35,0,78,16.42
2024-01-01 00:09:30,104,31,1,117,18.31
2024-01-01 00:10:00,93,33,5,78,14.59
2024-01-01 00:10:30,97,38,4,77,19.48
2024-01-01 00:11:00,108,24,6,58,15.3
2024-01-01 00:11:30,95,24,5,78,16.93
2024-01-01 00:12:00,106,34,4,59,16.19
2024-01-01 00:12:30,103,31,9,120,15.0
2024-01-01 00:13:00,96,23,6,81,12.81
2024-01-01 00:13:30,93,28,2,79,17.8
2024-01-01 00:14:00,108,30,4,55,15.49
2024-01-01 00:14:30,111,28,8,93,16.57
2024-01-01 00:15:00,100,34,2,89,17.15
2024-01-01 00:15:30,101,24,3,65,16.0
2024-01-01 00:16:00,99,21,8,84,15.03
2024-01-01 00:16:30,108,39,3,71,14.34
2024-01-01 00:17:00,96,28,2,65,19.2
2024-01-01 00:17:30,106,36,8,65,13.51
2024-01-01 00:18:00,98,30,1,72,20.32
2024-01-01 00:18:30,102,31,5,108,17.35
2024-01-01 00:19:00,97,29,2,107,14.24
2024-01-01 00:19:30,79,18,4,75,17.28
2024-01-01 00:20:00,104,34,0,99,14.21
2024-01-01 00:20:30,94,31,7,103,15.02
2024-01-01 00:21:00,94,27,4,138,18.1
2024-01-01 00:21:30,127,35,9,84,12.81
2024-01-01 00:22:00,91,27,1,59,17.8
2024-01-01 00:22:30,104,32,3,84,17.03
2024-01-01 00:23:00,88,31,3,85,19.12
2024-01-01 00:23:30,87,20,1,58,14.51
2024-01-01 00:24:00,115,36,2,94,14.72
2024-01-01 00:24:30,110,37,4,78,17.67
2024-01-01 00:25:00,96,18,4,55,17.18
2024-01-01 00:25:30,109,38,9,65,15.85
2024-01-01 00:26:00,90,24,5,88,16.89
2024-01-01 00:26:30,103,37,5,105,15.79
2024-01-01 00:27:00,97,32,7,60,18.04
2024-01-01 00:27:30,88,20,4,73,18.05
2024-01-01 00:28:00,101,28,3,93,18.14
2024-01-01 00:28:30,103,24,4,108,14.93
2024-01-01 00:29:00,109,42,6,98,16.52
2024-01-01 00:29:30,85,22,7,47,12.68
2024-01-01 00:30:00,93,23,5,37,14.83
2024-01-01 00:30:30,112,46,4,92,15.6
2024-01-01 00:31:00,102,24,5,105,17.76
2024-01-01 00:31:30,100,39,3,75,22.36
2024-01-01 00:32:00,111,26,4,78,16.0
2024-01-01 00:32:30,92,27,2,43,18.29
2024-01-01 00:33:00,96,37,6,104,13.52
2024-01-01 00:33:30,94,28,4,75,12.74
2024-01-01 00:34:00,107,35,2,74,16.87
2024-01-01 00:34:30,98,30,2,77,18.43
2024-01-01 00:35:00,98,35,3,76,16.15
2024-01-01 00:35:30,99,32,4,80,15.05
2024-01-01 00:36:00,100,22,5,122,14.2
2024-01-01 00:36:30,99,27,7,102,19.57
2024-01-01 00:37:00,115,44,6,96,14.85
2024-01-01 00:37:30,99,28,5,57,17.25
2024-01-01 00:38:00,88,25,5,56,16.66
2024-01-01 00:38:30,100,30,6,95,17.08
2024-01-01 00:39:00,104,25,6,96,18.09
2024-01-01 00:39:30,125,30,7,118,14.44
2024-01-01 00:40:00,102,33,5,57,16.08
